Order_ID,Order_Date,Customer_ID,Product,Category,Region,Quantity,Unit_Price,Discount,Sales,Profit,Year,Month,Quarter,Day,Day_of_Week,Profit_Margin
ORD104765,2023-01-01,CUST2838,Smartphone X,Electronics,South,2,31157.76,0.0,62315.52,12193.23,2023,1,1,1,Sunday,19.566923296154794
ORD108305,2023-01-01,CUST3597,Pen Set,Stationery,South,2,253.99,0.0,482.58,169.62,2023,1,1,1,Sunday,35.14857640184011
ORD110411,2023-01-01,CUST3080,Desk Lamp,Furniture,North,5,1810.63,0.2,7242.52,2020.68,2023,1,1,1,Sunday,27.900233620342092
ORD108389,2023-01-01,CUST1428,Smartphone X,Electronics,West,2,30561.91,0.05,58067.63,10552.78,2023,1,1,1,Sunday,18.173257630800503
ORD102691,2023-01-01,CUST1208,Notebook Pack,Stationery,West,1,439.35,0.15,373.45,141.29,2023,1,1,1,Sunday,37.8337126790735
ORD105741,2023-01-01,CUST2616,Bookshelf,Furniture,East,3,5754.01,0.05,16398.93,5079.75,2023,1,1,1,Sunday,30.976106367915467
ORD107250,2023-01-01,CUST1495,Printer,Office Supplies,West,4,12803.42,0.2,40970.94,9549.95,2023,1,1,1,Sunday,23.309081998118668
ORD100743,2023-01-01,CUST1551,Tablet Plus,Electronics,North,4,29118.38,0.25,87355.14,17101.0,2023,1,1,1,Sunday,19.576409585057046
ORD100559,2023-01-01,CUST1021,Notebook Pack,Stationery,West,4,447.31,0.0,1789.24,637.01,2023,1,1,1,Sunday,35.60226688426371
ORD104642,2023-01-01,CUST2550,Mouse,Office Supplies,West,7,955.22,0.15,5683.56,1327.33,2023,1,1,1,Sunday,23.353848644159644
ORD102331,2023-01-01,CUST2395,Wireless Headphones,Accessories,South,4,4501.91,0.1,16206.88,4271.47,2023,1,1,1,Sunday,26.355905640073846
ORD108550,2023-01-01,CUST2658,Bookshelf,Furniture,Central,2,5796.71,0.05,11013.75,3174.49,2023,1,1,1,Sunday,28.822971285892635
ORD102480,2023-01-01,CUST3838,Laptop Air 13,Electronics,South,6,64978.11,0.05,370375.23,63009.63,2023,1,1,1,Sunday,17.01237688060295
ORD104899,2023-01-01,CUST3136,Notebook Pack,Stationery,East,2,424.88,0.0,849.76,329.51,2023,1,1,1,Sunday,38.776831105253244
ORD101459,2023-01-02,CUST1848,Mouse,Office Supplies,North,7,898.49,0.1,5660.49,1463.12,2023,1,1,2,Monday,25.847938959348042
ORD101624,2023-01-02,CUST2467,Backpack,Stationery,South,4,1870.21,0.15,6358.71,2445.39,2023,1,1,2,Monday,38.45732860910467
ORD100189,2023-01-02,CUST3303,Office Chair,Furniture,North,7,8346.72,0.15,49662.98,13901.25,2023,1,1,2,Monday,27.99117169368411
