Month_Date,Category,Region,Sales,Year,Month,Quarter,Sales_Lag_1,Sales_Lag_2,Sales_Lag_3,Rolling_3_Month_Average,Sales_Growth
2023-04-01,Accessories,Central,59095.03,2023,4,2,102361.06,42132.22,61097.83,68530.37,1.4295197357271938
2023-05-01,Accessories,Central,25314.51,2023,5,2,59095.03,102361.06,42132.22,67862.77,-0.42268055840766006
2023-06-01,Accessories,Central,73997.25,2023,6,2,25314.51,59095.03,102361.06,62256.86666666667,-0.5716304738317249
2023-07-01,Accessories,Central,113467.75,2023,7,3,73997.25,25314.51,59095.03,52802.26333333333,1.9231160310825692
2023-08-01,Accessories,Central,135230.82,2023,8,3,113467.75,73997.25,25314.51,70926.50333333334,0.5334049576166682
2023-09-01,Accessories,Central,59663.06,2023,9,3,135230.82,113467.75,73997.25,107565.27333333333,0.19179960825873432
2023-10-01,Accessories,Central,41006.48,2023,10,4,59663.06,135230.82,113467.75,102787.21,-0.5588057515291263
2023-11-01,Accessories,Central,94202.9,2023,11,4,41006.48,59663.06,135230.82,78633.45333333334,-0.31269901342639805
2023-12-01,Accessories,Central,145446.82,2023,12,4,94202.9,41006.48,59663.06,64957.48,1.2972686268121523
2024-01-01,Accessories,Central,43954.53999999999,2024,1,1,145446.82,94202.9,41006.48,93552.06666666667,0.5439739116311708
2024-02-01,Accessories,Central,60032.95,2024,2,1,43954.53999999999,145446.82,94202.9,94534.75333333334,-0.6977964867159008
2024-03-01,Accessories,Central,122170.63,2024,3,1,60032.95,43954.53999999999,145446.82,83144.77,0.36579634322188337
2024-04-01,Accessories,Central,62816.04,2024,4,2,122170.63,60032.95,43954.53999999999,75386.04,1.0350595797807705
2024-05-01,Accessories,Central,130064.18,2024,5,2,62816.04,122170.63,60032.95,81673.20666666668,-0.4858335428081201
2024-06-01,Accessories,Central,70848.27,2024,6,2,130064.18,62816.04,122170.63,105016.95,1.0705568195639201
2024-07-01,Accessories,Central,118505.61,2024,7,3,70848.27,130064.18,62816.04,87909.49666666666,-0.4552822306648917
2024-08-01,Accessories,Central,65761.9,2024,8,3,118505.61,70848.27,130064.18,106472.68666666666,0.6726676600571897
2024-09-01,Accessories,Central,144097.04,2024,9,3,65761.9,118505.61,70848.27,85038.59333333334,-0.44507352858653704
2024-10-01,Accessories,Central,147228.37,2024,10,4,144097.04,65761.9,118505.61,109454.85000000002,1.1911933809698323
2024-11-01,Accessories,Central,80025.35,2024,11,4,147228.37,144097.04,65761.9,119029.10333333333,0.021730703142826435
2024-12-01,Accessories,Central,152616.87,2024,12,4,80025.35,147228.37,144097.04,123783.58666666667,-0.4564542825543745
2025-01-01,Accessories,Central,169412.26,2025,1,1,152616.87,80025.35,147228.37,126623.52999999998,0.9071065606086071
2025-02-01,Accessories,Central,56676.87,2025,2,1,169412.26,152616.87,80025.35,134018.16,0.11004936741265903
2025-03-01,Accessories,Central,89101.92,2025,3,1,56676.87,169412.26,152616.87,126235.33333333336,-0.6654500093440698
2025-04-01,Accessories,Central,178921.03,2025,4,2,89101.92,56676.87,169412.26,105063.68333333335,0.5721037523772925
2025-05-01,Accessories,Central,93865.08,2025,5,2,178921.03,89101.92,56676.87,108233.27333333333,1.008049097034048
2025-06-01,Accessories,Central,40191.23,2025,6,2,93865.08,178921.03,89101.92,120629.34333333334,-0.47538263109708234
