Month_Date,Category,Region,Predicted_Sales
2026-01-01,Accessories,Central,135873.93706666687
2026-02-01,Accessories,Central,79663.10679999989
2026-03-01,Accessories,Central,128618.27120000005
2026-01-01,Accessories,East,139552.09960000005
2026-02-01,Accessories,East,101505.83059999984
2026-03-01,Accessories,East,126157.54003333325
2026-01-01,Accessories,North,156267.78256666675
2026-02-01,Accessories,North,154466.73520000008
2026-03-01,Accessories,North,119099.43446666666
2026-01-01,Accessories,South,141614.48676666676
2026-02-01,Accessories,South,122093.4885000002
2026-03-01,Accessories,South,134740.80670000013
2026-01-01,Accessories,West,169464.63970000026
2026-02-01,Accessories,West,183175.5878000002
2026-03-01,Accessories,West,212738.0241000003
2026-01-01,Electronics,Central,1804391.4767
2026-02-01,Electronics,Central,2196642.8323000013
2026-03-01,Electronics,Central,1924595.917933332
2026-01-01,Electronics,East,2179615.016533337
2026-02-01,Electronics,East,1735008.313266666
2026-03-01,Electronics,East,1761195.350633334
2026-01-01,Electronics,North,2552216.474100002
2026-02-01,Electronics,North,2021667.8307333335
2026-03-01,Electronics,North,2147207.1007666662
2026-01-01,Electronics,South,1901436.9331000037
2026-02-01,Electronics,South,2060099.2368000015
2026-03-01,Electronics,South,2084922.2906666668
2026-01-01,Electronics,West,3206411.4492666633
2026-02-01,Electronics,West,3632133.3434333308
2026-03-01,Electronics,West,3147170.807099991
2026-01-01,Furniture,Central,224726.6651333332
2026-02-01,Furniture,Central,194936.13540000003
2026-03-01,Furniture,Central,188189.39493333304
2026-01-01,Furniture,East,207437.19276666667
2026-02-01,Furniture,East,249298.08389999962
2026-03-01,Furniture,East,230388.80770000015
2026-01-01,Furniture,North,252440.7360333328
2026-02-01,Furniture,North,175734.1761666665
2026-03-01,Furniture,North,243388.1238333329
2026-01-01,Furniture,South,277789.46809999977
2026-02-01,Furniture,South,234652.8825333333
2026-03-01,Furniture,South,197764.6177666668
2026-01-01,Furniture,West,182863.17266666706
2026-02-01,Furniture,West,205626.11156666695
2026-03-01,Furniture,West,266308.30313333275
2026-01-01,Office Supplies,Central,93155.3610999998
2026-02-01,Office Supplies,Central,119044.64349999969
2026-03-01,Office Supplies,Central,102043.98743333308
2026-01-01,Office Supplies,East,154961.5329000003
2026-02-01,Office Supplies,East,107913.42673333325
2026-03-01,Office Supplies,East,173533.9403333333
2026-01-01,Office Supplies,North,141577.02000000016
2026-02-01,Office Supplies,North,175077.05833333335
2026-03-01,Office Supplies,North,172977.32743333338
2026-01-01,Office Supplies,South,134523.95906666658
2026-02-01,Office Supplies,South,110591.94626666664
2026-03-01,Office Supplies,South,137205.79026666656
2026-01-01,Office Supplies,West,157054.22179999994
2026-02-01,Office Supplies,West,187950.3570333334
2026-03-01,Office Supplies,West,205953.0118666668
2026-01-01,Stationery,Central,20952.94963333329
2026-02-01,Stationery,Central,17196.202400000016
2026-03-01,Stationery,Central,25595.14003333334
2026-01-01,Stationery,East,33986.25290000001
2026-02-01,Stationery,East,26702.591733333342
2026-03-01,Stationery,East,23396.491699999984
2026-01-01,Stationery,North,22190.396766666647
2026-02-01,Stationery,North,26510.147633333338
2026-03-01,Stationery,North,22615.711699999978
2026-01-01,Stationery,South,28986.26280000003
2026-02-01,Stationery,South,60324.81293333339
2026-03-01,Stationery,South,33609.54983333334
2026-01-01,Stationery,West,19164.577700000005
2026-02-01,Stationery,West,61381.13900000003
2026-03-01,Stationery,West,42374.50500000005
