Quantity,Unit_Price,Discount,Year,Month,Quarter,Day,Day_of_Week_Number,Gross_Sales,Discount_Amount,Net_Unit_Price,Category,Region,Sales
2,31157.76,0.0,2023,1,1,1,6,62315.52,0.0,31157.76,Electronics,South,62315.52
2,253.99,0.0,2023,1,1,1,6,507.98,0.0,241.29,Stationery,South,482.58
5,1810.63,0.2,2023,1,1,1,6,9053.150000000001,1810.6300000000003,1448.5040000000001,Furniture,North,7242.52
2,30561.91,0.05,2023,1,1,1,6,61123.82,3056.1910000000003,29033.815,Electronics,West,58067.63
1,439.35,0.15,2023,1,1,1,6,439.35,65.9025,373.45,Stationery,West,373.45
3,5754.01,0.05,2023,1,1,1,6,17262.03,863.1015,5466.31,Furniture,East,16398.93
4,12803.42,0.2,2023,1,1,1,6,51213.68,10242.736,10242.735,Office Supplies,West,40970.94
4,29118.38,0.25,2023,1,1,1,6,116473.52,29118.38,21838.785,Electronics,North,87355.14
4,447.31,0.0,2023,1,1,1,6,1789.24,0.0,447.31,Stationery,West,1789.24
7,955.22,0.15,2023,1,1,1,6,6686.54,1002.981,811.9371428571429,Office Supplies,West,5683.56
4,4501.91,0.1,2023,1,1,1,6,18007.64,1800.7640000000001,4051.72,Accessories,South,16206.88
2,5796.71,0.05,2023,1,1,1,6,11593.42,579.671,5506.875,Furniture,Central,11013.75
6,64978.11,0.05,2023,1,1,1,6,389868.66000000003,19493.433,61729.204999999994,Electronics,South,370375.23
2,424.88,0.0,2023,1,1,1,6,849.76,0.0,424.88,Stationery,East,849.76
7,898.49,0.1,2023,1,1,2,0,6289.43,628.9430000000001,808.6414285714285,Office Supplies,North,5660.49
4,1870.21,0.15,2023,1,1,2,0,7480.84,1122.126,1589.6775,Stationery,South,6358.71
7,8346.72,0.15,2023,1,1,2,0,58427.03999999999,8764.055999999999,7094.711428571429,Furniture,North,49662.98
1,28052.23,0.0,2023,1,1,2,0,28052.23,0.0,28052.23,Electronics,Central,28052.23
5,1622.12,0.0,2023,1,1,2,0,8110.599999999999,0.0,1622.1200000000001,Office Supplies,East,8110.6
1,8514.52,0.0,2023,1,1,2,0,8514.52,0.0,8514.52,Furniture,West,8514.52
1,1827.4,0.1,2023,1,1,2,0,1827.4,182.74,1644.66,Office Supplies,East,1644.66
4,1806.78,0.15,2023,1,1,2,0,7227.12,1084.068,1535.7625,Furniture,North,6143.05
7,69867.34,0.15,2023,1,1,3,1,489071.38,73360.707,59387.23857142857,Electronics,South,415710.67
3,8803.82,0.0,2023,1,1,3,1,26411.46,0.0,8803.82,Furniture,North,26411.46
4,4816.86,0.0,2023,1,1,3,1,19267.44,0.0,4816.86,Accessories,West,19267.44
2,11866.44,0.0,2023,1,1,3,1,23732.88,0.0,11866.44,Office Supplies,West,23732.88
1,27020.39,0.1,2023,1,1,3,1,27020.39,2702.039,24318.35,Electronics,Central,24318.35
5,242.18,0.0,2023,1,1,3,1,1210.9,0.0,242.18,Stationery,Central,1210.9
1,4375.02,0.05,2023,1,1,3,1,4375.02,218.75100000000003,4156.27,Accessories,South,4156.27
2,3311.98,0.05,2023,1,1,3,1,6623.96,331.19800000000004,3146.38,Accessories,West,6292.76
3,8655.79,0.15,2023,1,1,3,1,25967.370000000003,3895.1055,7357.419999999999,Furniture,East,22072.26
3,5359.5,0.05,2023,1,1,3,1,16078.5,803.9250000000001,5091.526666666667,Furniture,North,15274.58
5,7054.08,0.1,2023,1,1,4,2,35270.4,3527.0400000000004,6348.6720000000005,Furniture,North,31743.36
6,8001.63,0.0,2023,1,1,4,2,48009.78,0.0,8001.63,Furniture,East,48009.78
5,31120.93,0.0,2023,1,1,4,2,155604.65,0.0,31120.93,Electronics,Central,155604.65
2,260.47,0.0,2023,1,1,4,2,520.94,0.0,260.47,Stationery,South,520.94
2,8440.31,0.2,2023,1,1,4,2,16880.62,3376.124,6752.25,Furniture,West,13504.5
3,4767.26,0.05,2023,1,1,4,2,14301.78,715.089,4528.8966666666665,Accessories,West,13586.69
2,26977.89,0.0,2023,1,1,5,3,53955.78,0.0,26977.89,Electronics,West,53955.78
4,64981.59,0.2,2023,1,1,5,3,259926.36,51985.272,51985.2725,Electronics,West,207941.09
8,26531.36,0.0,2023,1,1,5,3,212250.88,0.0,26531.36,Electronics,South,212250.88
3,4792.9,0.0,2023,1,1,5,3,14378.699999999999,0.0,4792.900000000001,Accessories,North,14378.7
1,1798.08,0.1,2023,1,1,5,3,1798.08,179.808,1618.27,Stationery,North,1618.27
2,5306.41,0.2,2023,1,1,5,3,10612.82,2122.564,4245.13,Furniture,South,8490.26
1,1784.61,0.05,2023,1,1,5,3,1784.61,89.2305,1695.38,Office Supplies,North,1695.38
1,6251.87,0.0,2023,1,1,5,3,6251.87,0.0,6251.87,Accessories,North,6251.87
7,9051.91,0.0,2023,1,1,6,4,63363.369999999995,0.0,9051.91,Furniture,West,63363.37
2,6789.85,0.0,2023,1,1,6,4,13579.7,0.0,6789.85,Furniture,Central,13579.7
6,4505.75,0.25,2023,1,1,6,4,27034.5,6758.625,3379.3133333333335,Accessories,West,20275.88
5,5408.13,0.05,2023,1,1,6,4,27040.65,1352.0325000000003,5137.724,Furniture,South,25688.62
1,1798.87,0.15,2023,1,1,6,4,1798.87,269.8305,1529.04,Furniture,Central,1529.04
1,4548.91,0.1,2023,1,1,6,4,4548.91,454.891,4094.02,Accessories,North,4094.02
3,6601.01,0.0,2023,1,1,6,4,19803.03,0.0,6601.009999999999,Furniture,South,19803.03
3,8481.42,0.15,2023,1,1,6,4,25444.260000000002,3816.639,7209.206666666666,Furniture,Central,21627.62
