Order_ID,Order_Date,Customer_ID,Product,Category,Region,Quantity,Unit_Price,Discount,Sales,Profit
ORD104765,2023-01-01,CUST2838,Smartphone X,Electronics,South,2,31157.76,0.0,62315.52,12193.23
ORD108305,2023-01-01,CUST3597,Pen Set,Stationery,South,2,253.99,,482.58,169.62
ORD110411,2023-01-01,CUST3080,Desk Lamp,Furniture,North,5,1810.63,0.2,7242.52,2020.68
ORD108389,2023-01-01,CUST1428,Smartphone X,Electronics,West,2,30561.91,0.05,58067.63,10552.78
ORD102691,2023-01-01,CUST1208,Notebook Pack,Stationery,West,1,439.35,0.15,373.45,141.29
ORD105741,2023-01-01,CUST2616,Bookshelf,Furniture,East,3,5754.01,0.05,16398.93,5079.75
ORD107250,2023-01-01,CUST1495,Printer,Office Supplies,West,4,12803.42,0.2,40970.94,9549.95
ORD100743,2023-01-01,CUST1551,Tablet Plus,Electronics,North,4,29118.38,0.25,87355.14,17101.0
ORD100559,2023-01-01,CUST1021,Notebook Pack,Stationery,West,4,447.31,0.0,1789.24,637.01
ORD104642,2023-01-01,CUST2550,Mouse,Office Supplies,West,7,955.22,0.15,5683.56,1327.33
ORD102331,2023-01-01,CUST2395,Wireless Headphones,Accessories,South,4,4501.91,0.1,16206.88,4271.47
ORD108550,2023-01-01,CUST2658,Bookshelf,Furniture,Central,2,5796.71,0.05,11013.75,3174.49
ORD102480,2023-01-01,CUST3838,Laptop Air 13,Electronics,South,6,64978.11,0.05,370375.23,63009.63
ORD104899,2023-01-01,CUST3136,Notebook Pack,Stationery,East,2,424.88,0.0,849.76,329.51
ORD101459,2023-01-02,CUST1848,Mouse,Office Supplies,North,7,898.49,0.1,5660.49,1463.12
ORD101624,2023-01-02,CUST2467,Backpack,Stationery,South,4,1870.21,0.15,6358.71,2445.39
ORD100189,2023-01-02,CUST3303,Office Chair,Furniture,North,7,8346.72,0.15,49662.98,13901.25
ORD100146,2023-01-02,CUST3469,Tablet Plus,Electronics,Central,1,28052.23,0.0,28052.23,4910.12
ORD105082,2023-01-02,CUST3750,Keyboard,Office Supplies,East,5,1622.12,0.0,8110.6,1937.74
ORD101364,2023-01-02,CUST3526,Office Chair,Furniture,West,1,8514.52,0.0,8514.52,2341.17
ORD110861,2023-01-02,CUST2442,Keyboard,Office Supplies,East,1,1827.4,0.1,1644.66,440.01
ORD110138,2023-01-02,CUST2684,Desk Lamp,Furniture,North,4,1806.78,0.15,6143.05,1686.19
ORD109438,2023-01-03,CUST1336,Laptop Air 13,Electronics,South,7,69867.34,0.15,415710.67,82515.71
ORD102927,2023-01-03,CUST3213,Office Chair,Furniture,North,3,8803.82,0.0,26411.46,7462.1
ORD107320,2023-01-03,CUST1746,Wireless Headphones,Accessories,West,4,4816.86,0.0,19267.44,5287.09
ORD110307,2023-01-03,CUST2540,Printer,Office Supplies,West,2,11866.44,0.0,23732.88,6334.23
ORD109763,2023-01-03,CUST1662,Tablet Plus,Electronics,Central,1,27020.39,0.1,24318.35,4610.61
ORD104910,2023-01-03,CUST2287,Pen Set,Stationery,Central,5,242.18,0.0,1210.9,459.64
ORD101178,2023-01-03,CUST1127,Wireless Headphones,Accessories,South,1,4375.02,0.05,4156.27,1069.8
ORD110349,2023-01-03,CUST3582,Bluetooth Speaker,Accessories,West,2,3311.98,0.05,6292.76,1695.42
ORD101138,2023-01-03,CUST3746,Office Chair,Furniture,East,3,8655.79,0.15,22072.26,5989.42
ORD103502,2023-01-03,CUST3997,Bookshelf,Furniture,North,3,5359.5,0.05,15274.58,4176.13
ORD104312,2023-01-04,CUST3042,Study Table,Furniture,North,5,7054.08,0.1,31743.36,8890.21
ORD100990,2023-01-04,CUST2054,Office Chair,Furniture,East,6,8001.63,0.0,48009.78,13004.88
ORD110087,2023-01-04,CUST3182,Smartphone X,Electronics,Central,5,31120.93,0.0,155604.65,26903.18
ORD108020,2023-01-04,CUST2797,Pen Set,Stationery,South,2,260.47,0.0,520.94,192.65
ORD105516,2023-01-04,CUST2753,Office Chair,Furniture,West,2,8440.31,0.2,13504.5,4096.61
ORD100723,2023-01-04,CUST1687,Wireless Headphones,Accessories,West,3,4767.26,0.05,13586.69,3757.03
ORD111033,2023-01-05,CUST3843,Tablet Plus,Electronics,West,2,26977.89,0.0,53955.78,10782.56
ORD102912,2023-01-05,CUST1940,Laptop Air 13,Electronics,West,4,64981.59,0.2,207941.09,37870.5
ORD111703,2023-01-05,CUST1750,Tablet Plus,Electronics,South,8,26531.36,0.0,212250.88,37329.28
ORD100773,2023-01-05,CUST2057,Wireless Headphones,Accessories,North,3,4792.9,0.0,14378.7,3757.33
ORD105425,2023-01-05,CUST3699,Backpack,Stationery,North,1,1798.08,0.1,1618.27,576.77
ORD100308,2023-01-05,CUST3106,Bookshelf,Furniture,South,2,5306.41,0.2,8490.26,2321.75
ORD104011,2023-01-05,CUST1068,Keyboard,Office Supplies,North,1,1784.61,0.05,1695.38,395.31
ORD108953,2023-01-05,CUST3381,Smart Watch,Accessories,North,1,6251.87,0.0,6251.87,1571.62
ORD106008,2023-01-06,CUST3419,Office Chair,Furniture,West,7,9051.91,0.0,63363.37,17412.51
ORD111784,2023-01-06,CUST1314,Study Table,Furniture,Central,2,6789.85,0.0,13579.7,4009.16
ORD111013,2023-01-06,CUST1139,Wireless Headphones,Accessories,West,6,4505.75,0.25,20275.88,5437.6
ORD103830,2023-01-06,CUST1910,Bookshelf,Furniture,South,5,5408.13,0.05,25688.62,7375.23
ORD110105,2023-01-06,CUST1081,Desk Lamp,Furniture,Central,1,1798.87,0.15,1529.04,457.43
ORD104141,2023-01-06,CUST3062,Wireless Headphones,Accessories,North,1,4548.91,0.1,4094.02,1091.13
ORD104067,2023-01-06,CUST1116,Study Table,Furniture,South,3,6601.01,0.0,19803.03,5530.62
ORD100720,2023-01-06,CUST2943,Office Chair,Furniture,Central,3,8481.42,0.15,21627.62,6448.53
ORD107644,2023-01-06,CUST3630,Study Table,Furniture,North,7,7047.45,0.15,41932.33,12025.14
ORD109391,2023-01-07,CUST3240,Smartphone Y,Electronics,West,1,22431.7,0.25,16823.78,3485.77
ORD108121,2023-01-07,CUST3627,Smartphone Y,Electronics,East,3,22770.88,0.0,68312.64,12176.3
ORD100955,2023-01-07,CUST1257,Smart Watch,Accessories,East,1,6567.29,0.1,5910.56,1691.06
ORD102546,2023-01-07,CUST1958,Keyboard,Office Supplies,West,6,1689.22,0.15,8615.02,2078.24
ORD106052,2023-01-07,CUST1569,Laptop Air 13,Electronics,West,1,64467.1,0.1,58020.39,10587.01
ORD104492,2023-01-07,CUST1004,Tablet Plus,Electronics,South,1,29231.71,0.05,27770.12,5781.34
ORD101225,2023-01-07,CUST2313,Keyboard,Office Supplies,Central,1,1857.32,0.05,1764.45,461.65
ORD107823,2023-01-07,CUST2175,Smartphone X,Electronics,West,3,32623.27,0.05,92976.32,17473.39
ORD101389,2023-01-07,CUST3537,Tablet Plus,Electronics,West,1,27906.65,0.2,22325.32,4490.03
ORD111644,2023-01-08,CUST2993,Desk Lamp,Furniture,East,1,1689.24,0.0,1689.24,483.98
ORD111745,2023-01-08,CUST1970,Keyboard,Office Supplies,South,7,1765.1,0.15,10502.34,2818.67
ORD104047,2023-01-08,CUST1752,Smartphone Y,Electronics,West,5,21836.24,0.0,109181.2,21460.94
ORD100656,2023-01-08,CUST2126,Laptop Air 13,Electronics,East,1,68864.56,0.2,55091.65,9668.35
ORD110674,2023-01-08,CUST2604,Backpack,Stationery,South,1,1957.06,0.1,1761.35,680.61
ORD104435,2023-01-08,CUST2133,Pen Set,Stationery,South,4,260.72,0.05,990.74,348.23
ORD102960,2023-01-08,CUST3952,Bluetooth Speaker,Accessories,Central,2,3194.98,0.25,4792.47,1350.49
ORD110226,2023-01-08,CUST3057,Smart Watch,Accessories,Central,2,6215.82,0.05,11810.06,3003.07
ORD108959,2023-01-08,CUST2389,Bluetooth Speaker,Accessories,North,1,3130.6,0.0,3130.6,875.25
ORD110657,2023-01-08,CUST2496,Smart Watch,Accessories,North,2,6432.2,0.25,9648.3,2562.26
ORD102240,2023-01-08,CUST2116,Office Chair,Furniture,West,1,8124.4,0.25,6093.3,1693.55
ORD108470,2023-01-08,CUST3574,Bookshelf,Furniture,East,1,5442.41,0.0,5442.41,1614.48
ORD100195,2023-01-09,CUST2106,Keyboard,Office Supplies,North,2,1857.49,0.15,3157.73,822.88
ORD110949,2023-01-09,CUST1341,Study Table,Furniture,West,8,6964.69,0.05,52931.64,14416.96
ORD106111,2023-01-09,CUST2933,Printer,Office Supplies,West,2,12952.98,0.05,24610.66,6027.17
